SL,Horsename,Win,Place
1,Gorak(FR),32,6.4
2,Witch Hunter(FR),35,6.7
3,Rhythm Master(IRE),43,9.4
4,Vafortino(IRE),22,5.0
5,Kingdom Come(IRE),18,4.9
6,Montassib(GB),7.7,2.6
7,Totally Charming(GB),24,6.6
8,Bopedro(FR),45,10
9,Accidental Agent(GB),43,8.8
10,Warrior Brave(GB),46,8.4
11,Spirit Of Light(IRE),27,6.3
12,Documenting(GB),53,6.1
13,Silent Film(GB),39,6.2
14,Biggles(GB),8.6,2.8
15,Croupier(IRE),16,4.8
16,Toimy Son(FR),34,8.2
17,Unforgotten(IRE),13,4.5
18,Lir Speciale(IRE),20,4.4
19,Baradar(IRE),47,9.1
20,Percy's Lad(GB),59,11
21,Northern Express(IRE),45,7.7
22,Great Max(IRE),39,7.5
23,Ropey Guest(GB),40,7.4
24,Spangled Mac(IRE),63,12
25,Tylos(FR),14,4.5
26,The Gatekeeper(IRE),47,7.7
27,Spanish Star(IRE),31,5.9
28,Rhoscolyn(GB),10,5.4
29,Redarna(GB),23,5.3
30(R),Star Of Orion(IRE),SCR,SCR
31(R),Indemnify(GB),SCR,SCR
32(R),Cruyff Turn(GB),SCR,SCR
SL,Horsename,Win,Place
1,Stratum(GB),5.0,2.1
2,Coltor(IRE),18,3.7
3,Dawn Rising(IRE),3.3,2.2
4,Estacas(GER),17,3.9
5,Falcon Eight(IRE),7.4,2.5
6,Goshen(FR),12,2.7
7,Run For Oscar(IRE),8.1,2.0
8,The Grand Visir(GB),14,3.5
9,First Emperor(GB),15,3.6
10,Typewriter(IRE),8.0,2.7
