SL,Horsename,Win,Place
1,Brave Emperor(IRE),34,8.7
2,Drumroll(IRE),5.1,2.6
3,Bold Act(IRE),5.5,2.5
4,Bolster(GB),17,6.0
5,Canberra Legend(IRE),14,3.1
6,Captain Winters(GB),12,4.4
7,Dancing Magic(IRE),34,8.3
8,Dear My Friend(GB),20,4.4
9,Epictetus(IRE),8.5,3.5
10,Exoplanet(FR),16,4.6
11,Killybegs Warrior(IRE),45,11
12,Oviedo(IRE),50,11
13,Tony Montana(GB),37,7.1
14,Torito(GB),9.1,2.4
15,Waipiro(IRE),13,3.9
16,Caernarfon(GB),11,4.6
SL,Horsename,Win,Place
1,Local Dynasty(IRE),9.0,3.9
2,Londoner(IRE),26,7.2
3,Liberty Lane(IRE),23,6.6
4,Laafi(FR),14,4.8
5,Obelix(GB),24,8.1
6,Canute(USA),4.4,2.2
7,Like A Tiger(GB),10,3.7
8,Lose Your Wad(IRE),23,5.7
9,Cuban Dawn(IRE),7.3,2.8
10,James Mchenry(GB),44,8.3
11,Coco Jack(IRE),24,5.7
12,Have Secret(IRE),21,5.9
13,Knockbrex(GB),11,4.0
14,First Sight(GB),SCR,SCR
15,Lion Of War(GB),14,3.4
16,Burdett Road(GB),9.2,2.7
17,Ziryab(GB),30,7.0
18(R),Theme Park(GB),SCR,SCR
19(R),Double March(IRE),SCR,SCR
