SL,Horsename,Win,Place
1,Finn's Charm(GB),42,6.7
2,One Nation(GB),12,3.1
3,Panic Alarm(IRE),45,8.7
4,Highbank(IRE),30,6.7
5,Starnberg(IRE),27,5.1
6,Racingbreaks Ryder(IRE),9.7,3.1
7,Benacre(IRE),28,5.8
8,New Endeavour(IRE),19,5.7
9,Docklands(GB),5.7,2.5
10,Ramazan(IRE),30,4.5
11,Theoryofeverything(GB),SCR,SCR
12,Bless(FR),29,6.9
13,Dark Thirty(IRE),71,11
14,Carracci(USA),19,5.1
15,Betterdaysrcoming(IRE),50,9.1
16,Surely Not(IRE),12,3.5
17,Forca Timao(IRE),42,7.3
18,Saxon King(GB),27,7.5
19,Quantum Impact(IRE),13,4.4
20,Physique(IRE),71,9.3
21,Good Karma(GB),33,7.9
22,Thunder Ball(GB),64,9.6
23,Tempered Soul(GB),48,10
24,Metal Merchant(IRE),54,8.4
25,Just An Hour(IRE),20,7.6
26,Urban Sprawl(GB),27,9.2
27,Royal Cape(IRE),24,5.3
28,Naxos(GB),30,6.9
29,Fort Vega(FR),63,9.2
30,Mustajaab(GB),81,12
31(R),Zu Run(GB),SCR,SCR
32(R),Bluelight Bay(IRE),SCR,SCR
33(R),Skysail(GB),SCR,SCR
SL,Horsename,Win,Place
1,Flaming Rib(IRE),38,6.9
2,King's Lynn(GB),22,7.5
3,Chipstead(GB),37,7.6
4,Duca Di Como(IRE),48,10
5,Tis Marvellous(GB),38,7.3
6,Hurricane Ivor(IRE),16,5.0
7,Summerghand(IRE),36,7.2
8,Orazio(IRE),7.7,2.8
9,Fresh(GB),20,5.9
10,Bielsa(IRE),20,3.6
11,Spirit Of Light(IRE),48,8.3
12,Mums Tipple(IRE),15,4.5
13,Lethal Levi(GB),37,6.1
14,Saint Lawrence(IRE),5.8,2.4
15,First Folio(GB),74,9.7
16,Tabdeed(GB),61,9.3
17,Albasheer(IRE),35,6.5
18,Khanjar(IRE),27,5.4
19,Tanmawwy(IRE),24,4.8
20,Apollo One(GB),31,5.7
21,Probe(GB),8.1,3.3
22,Dream Composer(FR),58,8.2
23,Kape Moss(GB),46,9.1
24,Mr Wagyu(IRE),27,7.2
25,Princess Shabnam(IRE),55,7.9
26,Juan Les Pins(GB),58,10
27,Spangled Mac(IRE),20,4.4
28,Hierarchy(IRE),53,9.2
29(R),Ropey Guest(GB),SCR,SCR
30(R),Aramis Grey(IRE),SCR,SCR
31(R),Lucky Man(IRE),SCR,SCR
