SL,Horsename,Win,Place
1,Al Asifah(GB),1.5,1.0
2,Bluestocking(GB),12,3.1
3,Climate Friendly(GB),57,10
4,Crown Princesse(FR),27,5.4
5,Ferrari Queen(IRE),31,5.3
6,Ghara(GB),53,8.8
7,Infinite Cosmos(IRE),SCR,SCR
8,Lmay(IRE),41,6.9
9,Luckin Brew(IRE),SCR,SCR
10,Lumiere Rock(IRE),14,3.5
11,Maman Joon(IRE),68,9.5
12,Midnight Mile(IRE),61,10
13,Perfect Prophet(GB),50,8.4
14,Red Riding Hood(IRE),72,10
15,Rocha Do Leao(IRE),20,4.2
16,Sea Of Roses(GB),62,9.5
17,Understated(GB),51,6.9
18,Village Voice(GB),39,7.1
19,Warm Heart(IRE),12,3.1
SL,Horsename,Win,Place
1,Al Suhail(GB),14,4.2
2,Artorius(AUS),12,3.9
3,Art Power(IRE),34,10
4,Big Invasion(USA),34,7.9
5,Cannonball(AUS),11,3.5
6,Coeur De Pierre(FR),39,10
7,Emaraaty Ana(GB),20,5.2
8,Khaadem(IRE),39,7.3
9,Kinross(GB),6.1,2.3
10,Rohaan(IRE),25,6.8
11,Run To Freedom(GB),53,8.3
12,The Astrologist(AUS),36,7.9
13,Wellington(AUS),2.7,1.2
14,Highfield Princess(FR),9.2,5.0
15,Sacred(GB),12,3.2
16,Sandrine(GB),49,10
